Id,Id_marca,Nombre,Descripcion,Target,Orden
82,2,Minino Yum®,"Doblemente delicioso, con sabor a camarón y pescado como parte de una fórmula completa y balanceada para consentir y cuidar a tu minino. Sorpresa de sabor para mininos curiosos.",MVZ|PROD|DIST,4
83,7,Pollorina®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,2
84,62,Evialis®,"Evialis es la línea de productos con tecnología francesa de la mas alta calidad. Formulados para mejorar la eficiencia y producción de leche, han sido diseñados para explotaciones tecnificadas que cuentan con ganado de buena genética.",MVZ|PROD|DIST,1
85,63,Master Can®,Alimento para perros adultos de todas las razas.,MVZ|PROD|DIST,1
86,64,Biospheres®,Gama completa para alimentos para camarón desde Zoea hasta PL,MVZ|PROD|DIST,1
87,64,MPEX®,MPeX es un alimento para camarón de criadero.,MVZ|PROD|DIST,2
88,64,Royal Oyster®,Royal Oyster es un suplemento de maduración de alta calidad para los criadores de camarón,MVZ|PROD|DIST,3
89,64,Royal Pepper Protein®,"Royal Pepper Protein es un suplemento liquido alimenticio de alta calidad para camarón, destinado a mejorar la salud y la resistencia al estrés.",MVZ|PROD|DIST,4
90,90,NULL,NULL,MVZ|PROD|DIST,NULL
91,66,Nutriconejos®,Línea de alimentos para producciones de traspatio.,MVZ|PROD|DIST,0
92,65,Biofingerling®,Alimento recomendado para la fase de alevinaje. Se utiliza desde que las tilapias pesan de 0-50 g.,MVZ|PROD|DIST,1
93,64,Royal Caviar®,Royal Caviar es una dieta verdaderamente excepcional para larvas de camarón,MVZ|PROD|DIST,5
94,64,Royal Seafood®,"Royal Seafood es una dieta de alta calidad para camarones, elaborada especialmente para estadios de post-larva.",MVZ|PROD|DIST,6
95,64,Vitellus®,"Vitellus Quistes de Artemia	Vitellus está compuesto exclusivamente de quistes de Artemia, los quistes han sido abiertos y extraido su contenido (al contenido de los quistes puede llamarse el vitellus del huevecillo). El vitellus extraído es procesado con la más moderna técnica que garantiza preservar totalmente la cualidad nutricional única del quiste de Artemia.",MVZ|PROD|DIST,6
96,64,MeM Camarón®,"MeM es un alimento para larvas de camarón cultivadas en condiciones intensivas, donde la nutrición y la calidad de agua son dos parámetros muy importantes.",MVZ|PROD|DIST,6
97,48,Multi Aves®,,MVZ|PROD|DIST,2
98,0,Biofingerling®,Alimento recomendado para la fase de alevinaje. Se utiliza desde que las tilapias pesan de 0-50 g.,MVZ|PROD|DIST,1
99,71,Standard,Alimento diseñado para caballos de paseo y trabajo con un nivel de actividad moderada,MVZ|PROD|DIST,2
100,68,Ababe®,Alimentos específicamente formulados para desarrollar sus recrías desde el primer día hasta el parto. Garantiza un rápido y seguro destete con excelentes ganancias de pesos y alto crecimiento.,MVZ|PROD|DIST,1
101,69,Ovinos Ganador®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada raza.",MVZ|PROD|DIST,1
102,70,Caprinos Ganador®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
103,53,Pavo Ganador® 5Kg,Programa de alimentación para cubirir las necesidades nutricionales del pavo. ,MVZ|PROD|DIST,1
104,54,Conejo Ganador 5Kg®,Línea de alimentos que cubre los requerimientos nutricionales de los conejos en producciones semi intensivas y extensivas.,MVZ|PROD|DIST,1
105,60,Pollo Ganador® 5Kg,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,1
106,33,Pollo Ganador® 5Kg,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,2
107,20,Cerdo Ganador® 5Kg,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,2
108,57,Cerdo Ganador® 5Kg,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,2
109,47,Gallina Ganador®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,3
110,48,Gallina Ganador®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,3
111,0,Premium,NULL,MVZ|PROD|DIST,NULL
